City;Airport Code;Level 3;Level 2
Adelaide;ADL;Yes;
Brisbane;BNE;Yes;
Cairns;CNS;Yes;
Darwin;DRW;Yes;
Gold Coast;OOL;Yes;
Hobart;HBA;;Yes
Melbourne;MEL;Yes;
Norfolk Island;NLK;;Yes
Perth;PER;Yes;
Port Hedland;PHE;;Yes
Sydney;SYD;Yes;
Townsville;TSV;;Yes
Phnom Penh;PNH;Yes;
Siem Reap;REP;Yes;
Bangalore;BLR;;Yes
Chennai;MAA;Yes;
Delhi;DEL;Yes;
Hyderabad;HYD;;Yes
Kolkata;CCU;;Yes
Mumbai;BOM;Yes;
Denpasar;DPS;Yes;
Jakarta;CGK;;Yes
Chubu;NGO;;Yes
Fukuoka;FUK;Yes;
Haneda;HND;Yes;
Osaka-Kansai;KIX;;Yes
New Chitose Airport;CTS;;Yes
Tokyo-Narita;NRT;Yes;
Incheon;ICN;Yes;
Seoul;GMP;Yes;
Jeju International Airport;CJU;Yes;
Kuala Lumpur;KUL;Yes;
Auckland;AKL;Yes;
Christchurch;CHC;Yes;
Queenstown;ZQN;;Yes
Wellington;WLG;Yes;
Benazir Bhutto;ISB;Yes;
Karachi;KHI;Yes;
Lahore;LHE;Yes;
Peshawar;PEW;Yes;
Port Moresby;POM;;Yes
Manila;MNL;Yes;
Changi;SIN;Yes;
Colombo;CMB;Yes;
Chiang Rai International Airport;CEI;;Yes
Chiang Mai;CNX;Yes;
Don Mueang;DMK;Yes;
Hat Yai;HDY;;Yes
Phuket;HKT;Yes;
Suvarnabhumi;BKK;Yes;
Utapao;UTP;;Yes
Hanoi;HAN;Yes;
Ho Chi Minh;SGN;Yes;
Graz;GRZ;;Yes
Innsbruck;INN;Yes;
Klagenfurt;KLU;;Yes
Linz;LNZ;;Yes
Salzburg;SZG;;Yes
Vienna;VIE;Yes;
Brussels;BRU;Yes;
Sofia;SOF;;Yes
Split;SPU;;Yes
Dubrovnik;DBV;;Yes
Zagreb International Airport;ZAG;;Yes
Larnaca;LCA;;Yes
Paphos;PFO;;Yes
Prague;PRG;Yes;
Billund;BLL;Yes;
Copenhagen;CPH;Yes;
Helsinki;HEL;Yes;
Lyon-Satolas;LYS;Yes;
Nice;NCE;Yes;
Beauvais;BVA;Yes;
Bordeaux;BOD;Yes;
Paris-Ch. De Gaulle;CDG;Yes;
Saint-Etienne;EBU;Yes;
Lille;LIL;Yes;
Lyon-Bron (General and Business Aviation a;LYN;Yes;
Marseille;MRS;Yes;
Paris-Orly;ORY;Yes;
Chambéry;CMF;;Yes
Annecy;NCY;;Yes
Berlin - Schoenefeld;SXF;Yes;
Berlin - Tegel;TXL;Yes;
Bremen;BRE;;Yes
Cologne;CGN;;Yes
Dresden;DRS;;Yes
Duesseldorf;DUS;Yes;
Erfut;ERF;;Yes
Frankfurt;FRA;Yes;
Hamburg;HAM;;Yes
Hannover;HAJ;;Yes
Leipzig;LEJ;;Yes
Muenster;FMO;;Yes
Munich;MUC;Yes;
Nuremberg;NUE;;Yes
Saarbruecken;SCN;;Yes
Stuttgart;STR;Yes;
Chania;CHQ;Yes;
Chios;JKH;Yes;
Corfu;CFU;Yes;
Heraklion;HER;Yes;
Kalamata;KLX;Yes;
Karpathos;AOK;Yes;
Kavala;KVA;Yes;
Kefallinia;EFL;Yes;
Kithira;KIT;Yes;
Kos;KGS;Yes;
Lemnos;LXS;;Yes
Mikonos;JMK;Yes;
Mytilene;MJT;Yes;
Patras;GPA;Yes;
Preveza;PVK;Yes;
Rhodes;RHO;Yes;
Samos;SMI;Yes;
Siteia;JSH;Yes;
Skiathos;JSI;Yes;
Thessalonika;SKG;Yes;
Thira;JTR;Yes;
Volos;VOL;Yes;
Zakinthos;ZTH;Yes;
Budapest;BUD;;Yes
Keflavik;KEF;Yes;
Dublin;DUB;Yes;
Tel Aviv;TLV;Yes;
Bologna;BLQ;;Yes
Cagliari;CAG;Yes;
Catania;CTA;Yes;
Florence;FLR;Yes;
Genova Cristoforo Colombo;GOA;Yes;
Lamezia Terme;SUF;;Yes
Lampedusa;LMP;Yes;
Milan - Linate;LIN;Yes;
Milan - Malpensa;MXP;Yes;
Milan - Orio al Serio;BGY;Yes;
Naples;NAP;Yes;
Olbia Costa Smeralda;OLB;;Yes
Palermo;PMO;Yes;
Pantelleria;PNL;Yes;
Pisa;PSA;;Yes
Rimini Federico Fellini;RMI;;Yes
Rome - Ciampino;CIA;Yes;
Rome - Fiumicino;FCO;Yes;
Turin;TRN;Yes;
Venice;VCE;Yes;
