Date;Heure;No Vol;Aeronef;OD;Secteur
Lundi;05:30;BC7561;E75;YYZ;D
Lundi;05:30;BF6278;CR7;DTW;T
Lundi;05:45;BG4087;CR9;ATL;T
Lundi;06:00;BE2438;73H;MIA;T
Lundi;06:00;AA481;320;YYZ;D
Lundi;06:00;BG3700;CR9;MSP;T
Lundi;06:00;BC1634;319;MCO;T
Lundi;06:00;BC1784;319;CZM;I
Lundi;06:00;BC1882;76W;CUN;I
Lundi;06:00;BC1986;321;PUJ;I
Lundi;06:00;AX448;DH4;YTZ;D
Lundi;06:00;BH4571;E75;PHL;T
Lundi;06:00;AG306;73H;SNU;I
Lundi;06:00;AG606;73H;CCC;I
Lundi;06:00;BI3513;DH4;YYZ;D
Lundi;06:15;BJ4728;ER4;ORD;T
Lundi;06:20;BK3533;E75;DFW;T
Lundi;06:30;AA485;320;YYZ;D
Lundi;06:30;BC7630;E75;LGA;T
Lundi;06:30;AW7951;DH4;YTZ;D
Lundi;06:30;BA1902;DH1;YZV;D
Lundi;06:30;BA1902;DH3;YZV;D
Lundi;06:30;BI3543;DH4;YYZ;D
Lundi;06:35;BK3351;ER4;LGA;T
Lundi;06:35;AX450;DH4;YQG;D
Lundi;06:40;BL3669;E7W;EWR;T
Lundi;06:45;BC1600;76W;FLL;T
Lundi;07:00;AA401;7M8;YYZ;D
Lundi;07:00;AY820;DH3;YZG;D
Lundi;07:00;BG3679;CR9;LGA;T
Lundi;07:05;BC1752;319;CUR;I
Lundi;07:15;BG3833;CR9;JFK;T
Lundi;07:15;BI3652;DH4;BOS;T
Lundi;07:25;AA301;333;YVR;D
Lundi;07:25;AX454;DH4;YTZ;D
Lundi;07:25;BH4718;E75;CLT;T
Lundi;07:30;AA1210;320;PBI;T
Lundi;07:30;AW7953;DH4;YTZ;D
Lundi;07:30;AG728;73H;LIR;I
Lundi;07:30;BI3519;DH4;YYZ;D
Lundi;07:40;BC1650;319;MIA;T
Lundi;07:40;BC1844;76W;SJO;I
Lundi;07:40;AW8671;CR2;YOW;D
Lundi;07:45;AA1268;320;RSW;T
Lundi;07:45;AW8593;CR9;YWG;D
Lundi;07:45;AW8819;CR2;YHM;D
Lundi;07:45;BI3448;DH4;YQB;D
Lundi;07:55;AA581;E90;ORD;T
Lundi;07:55;AW8704;DH4;YQB;D
Lundi;08:00;AA403;320;YYZ;D
Lundi;08:00;AA797;320;LAX;T
Lundi;08:00;AA974;319;BGI;I
Lundi;08:00;BC7556;E75;YHZ;D
Lundi;08:00;AG426;73H;PUJ;I
Lundi;08:00;AU1054;73H;FLL;T
Lundi;08:05;AZ921;DH1;YKQ;D
Lundi;08:15;AA331;320;YEG;D
Lundi;08:15;AZ927;DH1;YNS;D
Lundi;08:15;AW8500;DH3;YFC;D
Lundi;08:15;AB212;73H;RIH;I
Lundi;08:15;AB382;313;PVR;I
Lundi;08:20;BC7727;E75;DFW;T
Lundi;08:20;AW8788;DH3;YSJ;D
Lundi;08:20;AG517;73H;CUN;I
Lundi;08:25;AW8490;CR9;EWR;T
Lundi;08:25;AW8696;DH1;YZV;D
Lundi;08:25;AX456;DH4;YTZ;D
Lundi;08:30;AA317;320;YYC;D
Lundi;08:30;AY800;DH3;YZG;D
Lundi;08:30;BC1890;319;PHX;T
Lundi;08:30;AW7955;DH4;YTZ;D
Lundi;08:30;AB562;73H;SNU;I
Lundi;08:35;BC7632;E75;LGA;T
Lundi;08:40;BC1855;319;LAS;T
Lundi;08:40;BC7526;E75;YYT;D
Lundi;08:45;AA761;320;SFO;T
Lundi;08:45;AW8454;CR9;BOS;T
Lundi;08:45;AW8822;CR2;YQM;D
Lundi;08:45;AG788;73H;RTB;I
Lundi;08:45;BI3521;DH4;YYZ;D
Lundi;08:50;AW8682;DH3;YBG;D
Lundi;08:55;BC7703;E75;IAH;T
Lundi;09:00;AA405;320;YYZ;D
Lundi;09:00;AW8706;DH3;YGR;D
Lundi;09:00;AW8755;DH1;YUY;D
Lundi;09:00;AB560;333;CUN;I
Lundi;09:05;AW8968;DH1;YYY;D
Lundi;09:05;AX458;DH4;YQT;D
Lundi;09:05;AB220;73H;MGA;I
Lundi;09:09;BL3673;E7W;EWR;T
Lundi;09:15;AB960;73H;RTB;I
Lundi;09:15;AB976;332;PUJ;I
Lundi;09:20;BC7300;BEH;BDL;T
Lundi;09:20;AW8751;DH3;YVO;D
Lundi;09:25;BI3451;DH4;YHZ;D
Lundi;09:30;AY704;73M;YPX;D
Lundi;09:30;AO179;320;HOG;I
Lundi;09:30;AW7957;DH4;YTZ;D
Lundi;09:40;AB386;73H;VRA;I
Lundi;09:45;BJ4714;ER4;IAD;T
Lundi;09:45;AB512;73H;POP;I
Lundi;10:00;AA407;7M8;YYZ;D
Lundi;10:00;BB866;73Q;YFB;D
Lundi;10:00;AX460;DH4;YTZ;D
Lundi;10:00;BI3523;DH4;YYZ;D
Lundi;10:01;AD681;73H;MEX;I
Lundi;10:15;AT267;788;DTW;T
Lundi;10:26;BK3746;ER4;LGA;T
Lundi;10:30;BF6190;CR7;DTW;T
Lundi;10:30;AW7959;DH4;YTZ;D
Lundi;10:35;BP5415;CR7;LGA;T
Lundi;10:35;AB670;320;HAV;I
Lundi;10:40;BC7634;E75;LGA;T
Lundi;10:55;BC7593;E75;ORD;T
